,name,discount_price,price,discount %,cpu,ram,storage,classification,brand_name
17,"Microsoft Surface Laptop (7th Edition) ZGP-00037 Copilot+ PC - 13.8"" TouchScreen - Qualcomm Snapdragon X Elite - 16GB Ram - 512GB SSD - Qualcomm Adreno GPU",1350.0,1650.0,-18.0,Snapdragon®,6,512.0,Mid End,microsoft
18,"Microsoft Surface Laptop (7th Edition) EP2-06079 Copilot+ PC - 13.8"" TouchScreen - Snapdragon® X Plus - 16GB Ram - 1TB SSD - Qualcomm Adreno GPU",1250.0,1350.0,-7.0,Snapdragon®,6,1000.0,Mid End,microsoft
19,"ASUS Vivobook 16X OLED K3605VU - 16"" - Core I9-13900H - 16GB Ram - 1TB SSD - RTX 4050 6GB",1150.0,1450.0,-21.0,Intel®,6,1000.0,Mid End,asus
20,"HP Pavilion Plus 16T-AB000 - 16"" - Core I7-13700H - 16GB Ram - 512GB SSD - RTX 3050 6GB",850.0,900.0,-6.0,Intel®,6,512.0,Mid End,hp
22,"HP Laptop 15-Fd0095WM - 15.6"" - Core I5-1235U - 8GB Ram - 256GB SSD - Intel Iris Xe",450.0,520.0,-13.0,Intel®,8,256.0,Budget,hp
23,"Lenovo IdeaPad Slim 3 82XB008LUS - 15.6"" - Core I3-N305 - 8GB Ram - 256GB SSD - Intel UHD Graphics",330.0,380.0,-13.0,Intel®,8,256.0,Budget,lenovo
24,"Lenovo IdeaPad 1 82QD00DHUS - 15.6"" Touchscreen - Core I3-1215U - 8GB Ram - 256GB SSD - Intel UHD Graphics",450.0,550.0,-18.0,Intel®,8,256.0,Budget,lenovo
25,"HP Laptop 15t-Fd000 (70R14AV) - 15.6"" - Core I7-1355U - 8GB Ram - 256GB SSD - Intel Iris Xe Graphics",700.0,800.0,-13.0,Intel®,8,256.0,Budget,hp
26,"HP Laptop 15-FD0107DX (A9PE7UA)- 15.6"" Touchscreen - Core I7-1255U - 16GB Ram - 512GB SSD - Intel Iris Xe Graphics",750.0,850.0,-12.0,Intel,6,512.0,Budget,hp
28,"Acer SWIFT GO - SFG14-73T-75FA - 14"" Touchscreen - Core Ultra 7 155H - 16GB Ram - 1TB SSD - Intel Arc Graphics",825.0,900.0,-8.0,Intel,6,1000.0,Mid End,acer
29,"HP 17T-CN300 947N1AV - 17.3"" - Core I5-1334U - 8GB Ram - 256GB SSD - Intel Graphics",600.0,700.0,-14.0,Intel®,8,256.0,Budget,hp
