name,discount_price,price,description,discount %
"HP Envy 17-CW1010 - 17.3"" Touchscreen - Core Ultra 7 155H - 16GB Ram - 1TB SSD - Intel Arc Graphics",$800.00,$880.00,"Specifications: Processor: Intel® Core™ Ultra 7 155H (up to 4.8 GHz, 24 MB L3 cache, 16 cores, 22 threads).   Memory: 16 GB DDR5-5600 MHz RAM (2 x 8 GB).  Storage: 1 TB PCIe® NVMe™ M.2 SSD.  Display: 17.3"" diagonal, FHD (1920 x 1080), multitouch-enabled,...",-9%
"HP Laptop 15-Fd0095WM - 15.6"" - Core I5-1235U - 8GB Ram - 256GB SSD - Intel Iris Xe",$450.00,$520.00,"Specifications: Processor: Intel® Core™ i5-1235U (up to 4.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads).  Memory: 8 GB DDR4-3200 MT/s (1 x 8 GB).  Storage: 256GB PCIe® NVMe™ M.2 SSD.  Display: 39.6 cm (15.6"") diagonal, FHD (1920 x...",-13%
"Lenovo IdeaPad Slim 3 82XB008LUS - 15.6"" - Core I3-N305 - 8GB Ram - 256GB SSD - Intel UHD Graphics",$330.00,$380.00,"Specifications: Processor: Intel® Core™ i3-N305 (8C / 8T, 1.8 / 3.8GHz, 6MB).  Memory: 8GB Soldered LPDDR5-4800.  Storage: 256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®.  Display: 15.6"" FHD (1920x1080) TN 250nits Anti-glare.  Graphics: Integrated Intel® UHD Graphics.  Ports: 2x USB 3.2 Gen 1.  1x USB-C®...",-13%
"Lenovo IdeaPad 1 82QD00DHUS - 15.6"" Touchscreen - Core I3-1215U - 8GB Ram - 256GB SSD - Intel UHD Graphics",$450.00,$550.00,"Specifications: Processor: Intel® Core™ i3-1215U, 6C (2P + 4E) / 8T, P-core 1.2 / 4.4GHz, E-core 0.9 / 3.3GHz, 10MB.  Memory: 8GB Soldered DDR4-3200.  Storage: 256GB SSD M.2 2242 PCIe® 4.0x4 NVMe.  Display: 15.6"" FHD (1920x1080) IPS 300nits Anti-glare, Touch.  Graphics: Integrated Intel® UHD...",-18%
"HP Laptop 15t-Fd000 (70R14AV) - 15.6"" - Core I7-1355U - 8GB Ram - 256GB SSD - Intel Iris Xe Graphics",$700.00,$800.00,"Specifications: Processor: Intel® Core™ i7-1355U (up to 5.0 GHz, 12 MB L3 cache, 10 cores, 12 threads).  Memory: 8 GB DDR4-3200 SDRAM (1 X 8 GB).  Storage: 256 GB PCIe® NVMe™ M.2 SSD.  Display: 15.6"" diagonal, HD (1366 x 768), micro-edge, BrightView, 250 nits. ...",-13%
"HP Laptop 15-FD0107DX (A9PE7UA)- 15.6"" Touchscreen - Core I7-1255U - 16GB Ram - 512GB SSD - Intel Iris Xe Graphics",$750.00,$850.00,"Specifications: Processor: Intel Core i7-1255U (12th Gen) Up to 4.7 GHz Performance Dual-Core, Up to 3.5 GHz Efficiency 8-Core, 12 MB cache.  Memory: 16GB DDR4-SDRAM.  Storage: 512 GB PCIe® NVMe™ M.2 SSD.  Display: 15.6"" Touchscreen (1920 x 1080), FHD, IPS, Antiglare screen, Brightness 300 cd/m², Micro-Edge Graphics: Intel...",-12%
"Lenovo IdeaPad 1 82LX00CKDP - 15.6"" - Celeron® N4500 - 8GB Ram - 256GB SSD - Intel® UHD Graphics",$270.00,$300.00,"Specifications: Processor: Intel® Celeron® N4500 (2C / 2T, 1.1 / 2.8GHz, 4MB).  Memory: 8GB SO-DIMM DDR4-2933.  Storage: 256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®.  Display: 15.6"" HD (1366x768) TN 220nits Anti-glare.  Graphics: Integrated Intel® UHD Graphics.  Ports: 1x USB 2.0 1x USB 3.2 Gen...",-10%
"Acer SWIFT GO - SFG14-73T-75FA - 14"" Touchscreen - Core Ultra 7 155H - 16GB Ram - 1TB SSD - Intel Arc Graphics",$825.00,$900.00,"Specifications: Processor: Intel Core Ulta 7 155H, 1.40 GHz, Hexadeca-core (16 Core™) Memory: 16GB LPDDR5X Ram Storage: 1TB PCIe NVMe M.2 SSD Display: 14"" LCD ( 1920 x 1200) ComfyView (Matte) In-plane Switching (IPS) Technology Eyesafe, Touchscreen, 60Hz, 16:10 aspect ratio, 100% sRGB color Gamut.  Graphics: Intel Arc...",-8%
"HP 17T-CN300 947N1AV - 17.3"" - Core I5-1334U - 8GB Ram - 256GB SSD - Intel Graphics",$600.00,$700.00,"Specifications: Processor: Intel® Core™ i5-1334U (up to 4.6 GHz, 12 MB L3 cache, 10 cores, 12 threads).  Memory: 8 GB DDR4-3200 SDRAM (2 X 4 GB) Storage: 256 GB PCIe® NVMe™ M.2 SSD.  Display: 17.3"" diagonal, HD+ (1600 x 900), BrightView, 250 nits.  ...",-14%
"HP Pavilion 16-AF0063CL - 16"" Touchscreen - Core 5 120U - 16GB Ram - 1TB SSD - Intel Graphics",$775.00,$850.00,"Specifications: Processor: Intel® Core™ 5 120U (up to 5.0 GHz, 12 MB L3 cache, 10 cores, 12 threads). Memory: 16GB DDR5 RAM.  Storage: 1 TB PCIe® NVMe™ M.2 SSD Display: 16"" diagonal, WUXGA (1920 x 1200), touch, IPS, micro-edge, anti-glare, 300 nits.  Graphics: Intel Graphics.  Ports: ...",-9%
